Type,M,N,Cond,Norm1/Norm0,Norm2/Norm0,Norm3/Norm0,Norm4/Norm0,Norm5/Norm0,Norm6/Norm0,Norm7/Norm0,Norm8/Norm0,Norm9/Norm0,Norm10/Norm0,Norm11/Norm0,Norm12/Norm0,Norm13/Norm0,Norm14/Norm0,Norm15/Norm0,Norm16/Norm0,Norm17/Norm0,Norm18/Norm0,Norm19/Norm0,Norm20/Norm0,Iter1
1,256,128,10,0.31975,0.171666,0.0845719,0.0463616,0.0278561,0.0169244,0.00885693,0.00557395,0.00341002,0.00191005,0.00097145,0.000483511,0.000316167,0.000158027,9.18E-05,5.05E-05,2.81E-05,1.53E-05,9.71E-06,6.44E-06,1
2,256,128,10,0.215752,0.0811711,0.151268,0.897531,1.94206,0.313192,0.0540428,0.0218663,0.10888,0.00961156,0.00445193,0.00260823,0.115196,0.00631699,0.00168576,0.00335031,0.028173,0.0517026,0.00913038,0.00115484,2
3,256,128,10,0.497326,0.31156,0.238282,0.179717,0.156779,0.116207,0.105273,0.0846257,0.0656983,0.049271,0.0366792,0.0348504,0.0289788,0.0242945,0.0211747,0.0156761,0.0126143,0.0102134,0.00743605,0.00537886,1
4,256,128,10,0.396247,0.240234,0.187186,0.136149,0.0970632,0.079193,0.0563692,0.0389545,0.0334112,0.0242761,0.0180724,0.0137653,0.00977574,0.00737264,0.00481838,0.00383961,0.00295426,0.00211341,0.0015135,0.00120408,1
1,256,256,10,0.00142302,2.32E-11,2.53E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2,256,256,10,0.0702588,3.66E-12,8.65E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
3,256,256,10,0.530624,0.396781,0.30957,0.237565,0.184532,0.151712,0.122588,0.108203,0.10029,0.0856253,0.0625366,0.0532345,0.0402231,0.0372332,0.0309268,0.0213059,0.0195104,0.0152749,0.0141886,0.0109762,3
4,256,256,10,0.428418,0.250349,0.157716,0.123109,0.108977,0.0874102,0.0676836,0.0590427,0.0464861,0.0406703,0.0360383,0.0281187,0.0238441,0.0185197,0.015397,0.0135277,0.0120833,0.00881058,0.00703698,0.00629743,3
1,512,128,10,0.349524,0.162226,0.0747505,0.0327698,0.0144341,0.00645585,0.00289529,0.00140953,0.000628352,0.000280061,0.00011641,5.38E-05,2.27E-05,9.23E-06,4.39E-06,1.87E-06,8.29E-07,3.21E-07,1.35E-07,5.50E-08,1
2,512,128,10,0.2733,0.11649,0.0900584,0.153557,0.37895,1.12292,0.975267,0.390842,0.103113,0.0222713,0.0438298,0.191698,0.375276,0.227125,0.0304581,0.0101695,0.0171794,0.0695161,0.00338125,0.00136837,2
3,512,128,10,0.463531,0.280029,0.161528,0.103813,0.0652418,0.0424723,0.0242074,0.01475,0.0107549,0.00760494,0.00438034,0.00307567,0.00171964,0.00123961,0.000736708,0.000468209,0.000314721,0.000193096,0.000114159,6.57E-05,1
4,512,128,10,0.427599,0.234857,0.12645,0.0695409,0.0388292,0.0214725,0.0127875,0.00799727,0.00472741,0.00258993,0.00146842,0.0008077,0.000477586,0.000249193,0.000125098,6.90E-05,3.52E-05,1.86E-05,1.07E-05,5.28E-06,1
1,512,256,10,0.345285,0.177216,0.11056,0.0611764,0.0378884,0.0202959,0.0119442,0.00724259,0.00377646,0.00188189,0.00105295,0.000566352,0.000342025,0.000185714,0.000100342,6.14E-05,3.61E-05,2.21E-05,1.28E-05,7.43E-06,4
2,512,256,10,0.144797,0.0831196,0.541289,2.10673,0.752369,0.112543,0.0276661,0.063551,0.573943,0.0126768,0.00766804,0.0039807,0.00563404,0.00270302,0.0163739,0.0831413,0.026773,0.00331346,0.00143229,0.00481161,20
3,512,256,10,0.596497,0.410947,0.282671,0.211436,0.178512,0.147398,0.122781,0.0998908,0.0771681,0.0605976,0.0536034,0.0449493,0.0364509,0.0239156,0.0186017,0.0142198,0.0124756,0.00908629,0.00732759,0.00560481,3
4,512,256,10,0.507974,0.30241,0.198845,0.155465,0.115267,0.0848733,0.0630938,0.0495969,0.0354233,0.0223796,0.0155048,0.0114316,0.00852884,0.00660797,0.00486252,0.00361708,0.00272116,0.00211556,0.00145896,0.00117407,3
1,512,512,10,0.000622327,2.69E-11,4.39E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2,512,512,10,0.160655,1.83E-12,2.17E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
3,512,512,10,0.595344,0.423205,0.346994,0.263671,0.220854,0.177708,0.140702,0.120421,0.106845,0.0856084,0.0675709,0.0502473,0.0462055,0.0377467,0.0301667,0.0252179,0.0203606,0.0149883,0.0124975,0.0102327,3
4,512,512,10,0.438743,0.270494,0.182302,0.141899,0.11522,0.0887205,0.0708555,0.0594453,0.045064,0.0343222,0.0281544,0.0234443,0.0197171,0.0172888,0.013931,0.011682,0.00969903,0.00742464,0.00634021,0.00527429,3
1,1024,128,10,0.287782,0.0897058,0.0296901,0.00963357,0.00315075,0.000978632,0.000313282,0.000103366,3.50E-05,1.16E-05,3.34E-06,1.10E-06,3.13E-07,1.04E-07,2.90E-08,9.51E-09,2.60E-09,7.87E-10,3.02E-10,1.01E-10,1
2,1024,128,10,0.328994,0.151151,0.0958254,0.0909444,0.132293,0.314289,0.586466,0.743031,0.578973,0.319701,0.157073,0.0631054,0.0364682,0.0221918,0.0249868,0.0496467,0.0992819,0.150659,0.202006,0.126904,2
3,1024,128,10,0.460256,0.206702,0.0927142,0.0478756,0.0227416,0.0109744,0.00530606,0.00237152,0.00119188,0.000631292,0.00029547,0.000132426,5.57E-05,2.90E-05,1.35E-05,6.43E-06,2.74E-06,1.25E-06,5.69E-07,2.57E-07,1
4,1024,128,10,0.368144,0.144568,0.0595885,0.0268235,0.0111771,0.00408846,0.00179825,0.000705985,0.00029005,0.000108511,4.30E-05,1.74E-05,8.14E-06,3.12E-06,1.28E-06,4.91E-07,1.95E-07,7.35E-08,2.80E-08,1.06E-08,1
1,1024,256,10,0.33805,0.155453,0.0615039,0.0280529,0.0126142,0.00566507,0.00235741,0.0010626,0.000472871,0.000205309,8.87E-05,3.64E-05,1.68E-05,7.22E-06,3.01E-06,1.24E-06,5.64E-07,2.82E-07,1.22E-07,5.17E-08,4
